,0
512306,6152.331825093655
362102,6152.331825093655
487610,6105.051684422136
250504,6022.641824140001
752414,6022.641824140001
756651,6022.641824140001
524744,6022.641824140001
764219,6022.641824140001
633052,6022.641824140001
733386,6022.641824140001
64288,6022.641824140001
761254,6022.641824140001
709454,6022.641824140001
231,6022.641824140001
592606,6022.641824140001
610601,6022.641824140001
462908,6022.641824140001
384637,6022.641824140001
432023,6022.641824140001
204032,6022.641824140001
43245,6022.641824140001
512943,6022.641824140001
149402,6022.641824140001
376038,6022.641824140001
319151,6022.641824140001
667876,6022.641824140001
770512,6022.641824140001
769050,6022.641824140001
780938,6022.641824140001
810324,6022.641824140001
204187,6022.641824140001
535953,6022.641824140001
662425,6022.641824140001
369084,6022.641824140001
26030,6022.641824140001
452744,6022.641824140001
467860,6022.641824140001
14241,6022.641824140001
686762,6022.641824140001
405098,6022.641824140001
271667,6022.641824140001
342168,6022.641824140001
267519,6022.641824140001
625446,6022.641824140001
255925,6022.641824140001
625330,6022.641824140001
775829,6022.641824140001
335874,6022.641824140001
332870,6022.641824140001
630148,6022.641824140001
23602,6022.641824140001
624579,6022.641824140001
54268,4323.015918026545
660477,4323.015918026545
222717,3944.4058898360345
108579,3868.328099005813
192192,3818.0428190193506
701557,3818.0428190193506
304307,3818.0428190193506
274601,3818.0428190193506
180386,3818.0428190193506
866371,3818.0428190193506
436646,3818.0428190193506
277195,3818.0428190193506
746581,3818.0428190193506
254229,3818.0428190193506
361338,3818.0428190193506
437259,3818.0428190193506
505974,3818.0428190193506
562022,3818.0428190193506
601141,3818.0428190193506
457814,3818.0428190193506
879784,3818.0428190193506
455500,3818.0428190193506
276612,3818.0428190193506
262543,3818.0428190193506
368966,3818.0428190193506
699527,3818.0428190193506
275457,3818.0428190193506
287780,3818.0428190193506
629383,3818.0428190193506
191605,3818.0428190193506
569469,3818.0428190193506
907182,3642.0415775285246
630226,3642.0415775285246
14206,3642.0415775285246
504549,3642.0415775285246
447336,3642.0415775285246
387160,3593.5002358532024
456706,3493.1912018008416
392787,3493.1912018008416
507432,3493.1912018008416
339668,3493.1912018008416
418557,3493.1912018008416
429079,3493.1912018008416
502539,3493.1912018008416
762620,3493.1912018008416
606694,3493.1912018008416
557290,3493.1912018008416
761584,3493.1912018008416
537669,3493.1912018008416
812317,3493.1912018008416
549402,3493.1912018008416
584370,3493.1912018008416
94181,3493.1912018008416
224767,3493.1912018008416
628726,3493.1912018008416
24286,3493.1912018008416
553077,3493.1912018008416
316427,3493.1912018008416
780502,3493.1912018008416
532966,3493.1912018008416
366924,3493.1912018008416
186020,3493.1912018008416
265269,3356.5205605205506
233593,3356.5205605205506
401727,3123.5508262100257
790777,3084.668622382011
11066,3000.775541560755
276550,2989.624955923215
543829,2914.4857956052315
116124,2901.8327414998184
91979,2901.8327414998184
79188,2850.8919152185013
160486,2838.2446645538075
532547,2785.746329749451
303170,2780.913752933807
442881,2774.7964767705244
835930,2743.2009980950115
485376,2743.2009980950115
276111,2743.2009980950115
689872,2743.2009980950115
832437,2743.2009980950115
67872,2743.2009980950115
32606,2743.2009980950115
672945,2743.2009980950115
266858,2743.2009980950115
366596,2743.2009980950115
617563,2743.2009980950115
511327,2743.2009980950115
478064,2654.5654362126807
746332,2574.0498796133134
228714,2560.3936261587164
808519,2560.3936261587164
285567,2560.3936261587164
845006,2560.3936261587164
668274,2560.3936261587164
100158,2541.95537829142
649561,2528.631522057489
33317,2528.631522057489
601762,2528.631522057489
779793,2528.631522057489
834802,2528.631522057489
61077,2528.631522057489
141381,2528.631522057489
252327,2528.631522057489
619496,2528.631522057489
37096,2528.631522057489
800103,2528.631522057489
294573,2528.631522057489
28034,2528.631522057489
707946,2528.631522057489
638697,2528.631522057489
269821,2528.631522057489
144841,2528.631522057489
413754,2528.631522057489
641253,2528.631522057489
290868,2528.631522057489
637227,2528.631522057489
667638,2528.631522057489
689283,2528.631522057489
801656,2528.631522057489
334399,2528.631522057489
540659,2528.631522057489
776741,2528.631522057489
101567,2528.631522057489
122218,2528.631522057489
620459,2515.6609760323927
391466,2508.616984925547
606153,2387.462691318314
495787,2352.766185213017
166953,2342.969497544713
766366,2342.969497544713
91943,2342.969497544713
14161,2342.969497544713
645634,2342.969497544713
558498,2342.969497544713
677678,2342.969497544713
352455,2342.969497544713
481145,2342.969497544713
122401,2342.969497544713
191156,2246.612315372866
700879,2239.8797449144377
619961,2233.744992653703
586476,2205.9169838376265
652068,2205.9169838376265
586782,2205.9169838376265
568983,2205.9169838376265
649253,2205.9169838376265
