,0
462115,1655.482034445053
605751,1489.6303464088996
332146,1489.6303464088996
62613,1489.6303464088996
203750,1489.6303464088996
388966,1489.6303464088996
128404,1238.3709748565166
251051,1238.3709748565166
229394,1238.3709748565166
621134,1211.810646663696
467093,1211.810646663696
206459,1211.810646663696
380579,1211.810646663696
5014,1211.810646663696
326659,1211.810646663696
166530,1179.0166836548556
365372,1127.7343875769357
784533,1043.7702181432962
412220,1013.3564072057777
62353,1013.3564072057777
287266,1013.3564072057777
291508,1013.3564072057777
366024,1013.3564072057777
810960,980.7241530178461
313732,980.7241530178461
457589,980.7241530178461
648852,980.7241530178461
116992,980.7241530178461
287463,980.7241530178461
50869,980.7241530178461
396547,968.914593391129
574017,968.914593391129
313146,968.914593391129
102738,952.2540011726278
453809,945.4839145189322
653979,943.9196774395167
555196,929.35618406036
140911,929.35618406036
446016,929.35618406036
39836,929.35618406036
877442,929.35618406036
628988,929.35618406036
559560,929.35618406036
598840,929.35618406036
410033,929.35618406036
547851,929.35618406036
497511,929.35618406036
41063,929.35618406036
642497,929.35618406036
627358,929.35618406036
473138,929.35618406036
742828,929.35618406036
279901,929.35618406036
410877,929.35618406036
617254,929.35618406036
425511,929.35618406036
651694,929.35618406036
262766,929.35618406036
188168,929.35618406036
307585,929.35618406036
212662,929.35618406036
103051,929.35618406036
214034,929.35618406036
198157,929.35618406036
426603,929.35618406036
120748,929.35618406036
97321,905.2655378727901
217268,905.2655378727901
600419,905.2655378727901
354587,849.852867253462
112289,849.852867253462
72025,849.852867253462
422469,849.852867253462
210638,849.852867253462
446611,849.852867253462
646470,849.852867253462
719026,820.3214480158113
771245,820.3214480158113
797545,797.5321747386663
260062,797.5321747386663
428454,776.4097370020418
600415,776.4097370020418
344722,771.4939257285989
609611,771.4939257285989
6955,771.4939257285989
439275,771.4939257285989
642339,771.4939257285989
382116,771.4939257285989
783108,770.2914739181022
577124,770.2914739181022
2344,745.3805267189505
667883,743.8286097548538
190125,742.9862198553869
475953,742.9862198553869
678893,742.9862198553869
789819,742.9862198553869
419528,741.9625064909482
10487,741.9625064909482
84570,735.0512354191883
234504,729.778779901068
589435,729.778779901068
150913,729.778779901068
761556,729.778779901068
139382,729.778779901068
166080,729.778779901068
21125,729.778779901068
272873,729.778779901068
480972,729.778779901068
