,0
742169,6152.331825093655
605426,6022.641824140001
692779,6022.641824140001
776236,6022.641824140001
496366,6022.641824140001
761849,6022.641824140001
379609,6022.641824140001
740490,3818.0428190193506
536732,3642.0415775285246
677067,3642.0415775285246
551686,3493.1912018008416
533785,3493.1912018008416
80814,3493.1912018008416
26366,2743.2009980950115
623318,2342.969497544713
416686,2342.969497544713
778970,2205.9169838376265
221976,2205.9169838376265
839141,1942.4946599221578
90306,1704.3510057001417
721590,1704.3510057001417
694481,1674.6292664622365
522896,1566.136235682215
155936,1369.2307258044345
111388,1327.7292708414357
31629,1206.909503685303
395619,1199.9263300334885
623109,916.1763911842272
691958,875.1350817389482
80281,748.2733509272289
617776,692.6344480171484
340406,674.4670254454493
21660,609.0608751531906
567825,609.0608751531906
691773,560.3108014385773
845276,459.4063591734837
127030,430.7646845576473
282666,351.89120531540146
641350,332.41576909473974
369588,311.7347985574878
27906,300.8673904889193
101775,290.27716990957987
444996,286.2017037296525
20945,284.22896116820317
147161,260.28694341271483
495813,260.28694341271483
553254,202.0648650776178
361131,162.94134196132836
477559,153.8780571510813
608186,153.8780571510813
263923,130.3509040171219
29575,130.3509040171219
758859,129.0031128679045
1245,4.075466179927415
