,0
693277,6620.481943348494
422712,5871.787020878926
133711,5755.352743594056
30380,5755.352743594056
852229,5213.520011347424
492417,4739.796736828303
146097,4079.1672046651565
395693,2767.6776538282047
802486,2250.4760799658366
38190,2250.4760799658366
514226,2157.945384902025
265943,2157.945384902025
838617,2116.007299741142
682264,2116.007299741142
595044,1737.4465913101585
132604,1737.4465913101585
839700,1632.366052791118
636814,1606.7544853797162
894946,568.8634879491898
613937,211.00578735426964
553626,211.00578735426964
22546,211.00578735426964
767625,126.12175456295529
184900,88.8742384825492
765060,24.68169239602989
