,product,value,customer
1018,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",133134
1019,"['36298416', '36298395', '36298381', '36298122', '31047450']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038, 36.52506843159224]",230161
1020,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",151300
1021,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 148.9027885253545, 118.35782439901915]",843201
1022,"['32078802', '36298220', '32078970', '36298206', '32078795', '32842551', '36298381']","[1426.2324657128029, 876.9585324254264, 829.881066034175, 689.2502796946033, 256.8448607981492, 254.71926128307788, 136.19829275876663]",547346
1023,"['32078802', '32078795', '32842551', '32078970', '31618475', '32988382', '32078935', '34129942']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 272.0252261069808, 253.01601183589494, 69.07445737837183, 18.210682594912296]",250993
1024,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",635108
1025,"['31618475', '32988382', '34129942']","[297.6178852695093, 253.0349200847682, 18.210682594912296]",394300
1026,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",862036
1027,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038]",15360
1028,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",795187
1029,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",847885
1030,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",615438
1031,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",240909
1032,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",88868
1033,"['32078802', '32842551', '32078970', '32079082', '32078795', '32078935']","[1076.2166746635708, 399.58008649397294, 105.54651171459584, 81.51421243336533, 24.68169239602989, 3.8743391493146437]",760681
1034,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",512252
1035,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",396051
1036,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",349387
1037,"['34798386', '31047450', '31047464', '34130894']","[161.6051524421832, 73.77258451199832, 52.34917005095697, 49.40063491208645]",862458
1038,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038]",540824
1039,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",455638
1040,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",377237
1041,['31047450'],[36.52506843159224],821370
1042,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",747749
1043,"['34798386', '31047450', '31047464', '34130894', '32078970']","[161.6051524421832, 73.77258451199832, 52.34917005095697, 49.40063491208645, 22.946484874586204]",809702
1044,"['32078802', '32078970', '32078795', '32842551', '32079082', '32078935']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788, 81.51421243336533, 3.8743391493146437]",164769
1045,['32078795'],[24.68169239602989],630090
1046,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",784436
1047,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",543849
1048,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",801023
1049,"['31618475', '32988382', '34129942']","[297.6178852695093, 253.0349200847682, 18.210682594912296]",603090
1050,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038]",725111
1051,"['36298416', '32078802', '36298395', '32078970', '36298381', '32078795', '32842551', '36298122']","[2275.933141867629, 1426.2324657128029, 1234.2502222916794, 829.881066034175, 678.9605673147175, 256.8448607981492, 254.71926128307788, 159.24688011896038]",645339
1052,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",725836
1053,"['32078802', '32842551', '32079082', '32078795', '32078970', '32078935']","[1076.2166746635708, 399.58008649397294, 81.51421243336533, 24.68169239602989, 22.946484874586204, 3.8743391493146437]",172924
1054,"['36298416', '32078802', '36298395', '32078970', '36298381', '32078795', '32842551', '36298122']","[2275.933141867629, 1426.2324657128029, 1234.2502222916794, 829.881066034175, 678.9605673147175, 256.8448607981492, 254.71926128307788, 159.24688011896038]",751978
