,customer_id,Recency,Frequency,Monetary,CLASS,CHURN,sentiment
0,68993,1,4,537.32,SILVER,1,1
1,870315,40,4,304.72,SILVER,1,1
2,48656,0,4,222.19,SILVER,1,0
3,863824,1,4,517.41,SILVER,0,-1
4,250007,68,4,598.95,SILVER,1,1
5,841518,20,4,309.48,SILVER,1,1
6,256520,66,4,421.88,SILVER,1,0
7,104365,10,4,261.09,SILVER,1,1
8,907309,10,4,511.91,SILVER,0,1
9,839488,7,4,271.16,SILVER,1,1
10,480694,19,4,581.28,SILVER,0,1
11,76316,58,4,368.57,SILVER,1,1
12,902513,4,4,320.72,SILVER,0,1
13,531230,70,4,454.5400000000001,SILVER,1,1
14,893709,4,4,417.81,SILVER,0,0
15,553980,69,4,280.25,SILVER,1,1
16,871380,18,4,244.28000000000003,SILVER,1,1
17,871964,39,4,279.6,SILVER,1,0
18,910575,0,4,1105.02,SILVER,0,1
19,636531,30,4,1549.02,SILVER,1,0
20,857312,4,4,316.34000000000003,SILVER,1,0
21,60540,52,4,2125.7,SILVER,1,0
22,331909,11,4,1013.2,SILVER,1,1
23,906037,12,4,604.64,SILVER,0,1
24,856372,35,4,430.35,SILVER,1,1
25,487621,5,4,402.29,SILVER,1,1
26,515039,52,4,933.42,SILVER,1,1
27,773285,24,4,613.36,SILVER,0,1
28,433743,60,4,274.27,SILVER,1,1
29,469627,52,4,302.83000000000004,SILVER,1,0
30,719448,32,4,667.72,SILVER,1,1
31,184430,54,4,1195.1,SILVER,1,1
32,915437,6,4,349.24,SILVER,0,0
33,882575,3,4,221.69000000000003,SILVER,0,1
34,491629,6,4,601.78,SILVER,1,1
35,702374,69,4,232.4,SILVER,1,1
36,845152,7,4,758.69,SILVER,1,-1
37,17455,59,4,247.35,SILVER,1,0
38,583395,59,4,507.95,SILVER,1,1
39,868898,37,4,233.07,SILVER,1,1
40,900223,4,4,847.73,SILVER,0,0
41,317103,57,4,555.4,SILVER,1,1
42,863147,12,4,804.4000000000001,SILVER,0,1
43,333157,31,4,273.07,SILVER,1,1
44,858747,6,4,257.92,SILVER,1,1
45,483979,27,4,2793.9,SILVER,1,1
46,816268,42,4,707.8,SILVER,1,1
47,906555,13,4,478.74,SILVER,0,1
48,615734,67,4,574.46,SILVER,1,0
49,175987,4,4,522.5799999999999,SILVER,1,1
50,397558,53,4,1258.12,SILVER,1,1
51,865725,27,4,304.36,SILVER,1,1
52,786460,59,4,285.0,SILVER,1,1
53,717137,68,4,643.76,SILVER,1,0
54,727513,68,4,246.47,SILVER,1,1
55,830411,4,4,581.73,SILVER,1,1
56,492994,30,4,324.40000000000003,SILVER,1,1
57,369653,73,4,2071.11,SILVER,1,0
58,371005,25,4,738.65,SILVER,1,1
59,320233,1,4,392.62,SILVER,1,1
60,87428,4,4,993.94,SILVER,1,1
61,886366,21,4,398.39,SILVER,1,1
